product_name,price_raw,price,rating,source,category,scraped_at,brand,rating_filled,has_rating,is_tshirt,is_mens,is_womens,is_printed,is_plain,name_length,word_count,has_premium_keyword,has_cotton,has_fit_type,category_encoded,brand_encoded,brand_frequency
Max,198,198.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Max,4.0,1,1,1,0,0,1,3,1,0,0,0,0,9,2
Levi's,395,395.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Levi,4.0,1,1,1,0,0,1,6,1,0,0,0,0,7,3
London Hills,238.,238.0,3.7,Amazon India,mens plain tshirt,2026-09-10 22:44:01,London,3.7,1,1,1,0,0,1,12,2,0,0,0,0,8,2
Sleepynuts,998.,998.0,3.8,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Lee,3.8,1,1,1,0,0,1,10,1,0,0,0,0,6,3
Sleepynuts,999,999.0,3.8,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Lee,3.8,1,1,1,0,0,1,10,1,0,0,0,0,6,3
Levi's,395,395.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Levi,4.0,1,1,1,0,0,1,6,1,0,0,0,0,7,3
LEOTUDE,298,298.0,3.6,Amazon India,mens plain tshirt,2026-09-10 22:44:01,LEOTUDE,3.6,1,1,1,0,0,1,7,1,0,0,0,0,5,3
Max,199,199.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Max,4.0,1,1,1,0,0,1,3,1,0,0,0,0,9,2
Sleepynuts,999,999.0,3.8,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Lee,3.8,1,1,1,0,0,1,10,1,0,0,0,0,6,3
VEL,999,999.0,5.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,VEL,5.0,1,1,1,0,0,1,3,1,0,0,0,0,13,1
Van Heusen,497,497.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Van Heusen,4.0,1,1,1,0,0,1,10,2,0,0,0,0,14,1
LEOTUDE,298,298.0,3.9,Amazon India,mens plain tshirt,2026-09-10 22:44:01,LEOTUDE,3.9,1,1,1,0,0,1,7,1,0,0,0,0,5,3
Men’s Round Neck Plain Oversize T-Shirt – Casual Loose Fit Cotton Wear |,280,280.0,3.8,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Men’s,3.8,1,1,1,0,0,1,72,13,0,1,0,0,10,1
Scott International,249,249.0,3.7,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Scott,3.7,1,1,1,0,0,1,19,2,0,0,0,0,11,1
Jockey,542,542.0,4.2,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Jockey,4.2,1,1,1,0,0,1,6,1,0,0,0,0,4,2
Generic,498,498.0,3.7,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Generic,3.7,1,1,1,0,0,1,7,1,0,0,0,0,2,1
Levi's,389,389.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Levi,4.0,1,1,1,0,0,1,6,1,0,0,0,0,7,3
Jockey,599,599.0,4.2,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Jockey,4.2,1,1,1,0,0,1,6,1,0,0,0,0,4,2
Allen Solly,713,713.0,4.1,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Allen,4.1,1,1,1,0,0,1,11,2,0,0,0,0,0,1
Amazon Brand - Symbol,348,348.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Amazon,4.0,1,1,1,0,0,1,21,4,0,0,0,0,1,2
LEOTUDE,298,298.0,3.6,Amazon India,mens plain tshirt,2026-09-10 22:44:01,LEOTUDE,3.6,1,1,1,0,0,1,7,1,0,0,0,0,5,3
London Hills,499,499.0,3.7,Amazon India,mens plain tshirt,2026-09-10 22:44:01,London,3.7,1,1,1,0,0,1,12,2,0,0,0,0,8,2
XENOVAURBAN,"1,099",1099.0,4.1,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Urban,4.1,1,1,1,0,0,1,11,1,0,0,0,0,12,1
HIFZAA,299,299.0,2.5,Amazon India,mens plain tshirt,2026-09-10 22:44:01,HIFZAA,2.5,1,1,1,0,0,1,6,1,0,0,0,0,3,1
Amazon Brand - Symbol,799,799.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01,Amazon,4.0,1,1,1,0,0,1,21,4,0,0,0,0,1,2
