product_name,price_raw,price,rating,source,category,scraped_at
Max,198,198.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Levi's,395,395.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
London Hills,238.,238.0,3.7,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Sleepynuts,998.,998.0,3.8,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Sleepynuts,999,999.0,3.8,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Levi's,395,395.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
LEOTUDE,298,298.0,3.6,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Max,199,199.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Sleepynuts,999,999.0,3.8,Amazon India,mens plain tshirt,2026-09-10 22:44:01
VEL,999,999.0,5.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Van Heusen,497,497.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
LEOTUDE,298,298.0,3.9,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Men’s Round Neck Plain Oversize T-Shirt – Casual Loose Fit Cotton Wear |,280,280.0,3.8,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Scott International,249,249.0,3.7,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Jockey,542,542.0,4.2,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Generic,498,498.0,3.7,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Levi's,389,389.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Jockey,599,599.0,4.2,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Allen Solly,713,713.0,4.1,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Amazon Brand - Symbol,348,348.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
LEOTUDE,298,298.0,3.6,Amazon India,mens plain tshirt,2026-09-10 22:44:01
London Hills,499,499.0,3.7,Amazon India,mens plain tshirt,2026-09-10 22:44:01
XENOVAURBAN,"1,099",1099.0,4.1,Amazon India,mens plain tshirt,2026-09-10 22:44:01
HIFZAA,299,299.0,2.5,Amazon India,mens plain tshirt,2026-09-10 22:44:01
Amazon Brand - Symbol,799,799.0,4.0,Amazon India,mens plain tshirt,2026-09-10 22:44:01
